title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LW 025 02 0100S,LW 025 02 0100S,LW025020100S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.1,0.1,2.54,0.254,0.02,0.02,0.51,0.051,40,40,7.005,70.05,0.7143,7.143,714.32,7143.2,10,10,1.7513,17.513,0.17858,1.7858,178.58,1785.8,0.03,0.03,0.76,0.076,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,2.8,2.8,12.46,1.27,1270.08,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000123,2,2,8.9,0.907,907.2,0.05,0.05,1.27,0.127
LW 025 02 0125S,LW 025 02 0125S,LW025020125S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.125,0.125,3.18,0.318,0.02,0.02,0.51,0.051,31,31,5.429,54.29,0.5536,5.536,553.6,5536,7.75,7.75,1.3573,13.573,0.1384,1.384,138.4,1384,0.036,0.036,0.91,0.091,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,2.759,2.759,12.27,1.251,1251.48,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000153,2,2,8.9,0.907,907.2,0.06,0.06,1.52,0.152
LW 025 02 0150S,LW 025 02 0150S,LW025020150S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.15,0.15,3.81,0.381,0.02,0.02,0.51,0.051,27,27,4.729,47.29,0.4822,4.822,482.17,4821.7,6.75,6.75,1.1821,11.821,0.12054,1.2054,120.542,1205.42,0.042,0.042,1.07,0.107,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,2.916,2.916,12.97,1.323,1322.7,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000184,2,2,8.9,0.907,907.2,0.075,0.075,1.91,0.191
LW 025 02 0175S,LW 025 02 0175S,LW025020175S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.175,0.175,4.45,0.445,0.025,0.025,0.64,0.064,22,22,3.853,38.53,0.3929,3.929,392.88,3928.8,5.5,5.5,0.9632,9.632,0.09822,0.9822,98.219,982.19,0.048,0.048,1.22,0.122,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,2.794,2.794,12.43,1.267,1267.36,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000215,2,2,8.9,0.907,m,0.085,0.085,2.16,0.216
LW 025 02 0200S,LW 025 02 0200S,LW025020200S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.2,0.2,5.08,0.508,0.025,0.025,0.64,0.064,19,19,3.328,33.28,0.3393,3.393,339.3,3393,4.75,4.75,0.8319,8.319,0.08483,0.8483,84.826,848.26,0.054,0.054,1.37,0.137,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,2.774,2.774,12.34,1.258,1258.29,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000245,2,2,8.9,0.907,907.2,0.095,0.095,2.41,0.241
LW 025 02 0225S,LW 025 02 0225S,LW025020225S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.225,0.225,5.72,0.572,0.025,0.025,0.64,0.064,19,19,3.328,33.28,0.3393,3.393,339.3,3393,4.75,4.75,0.8319,8.319,0.08483,0.8483,84.826,848.26,0.06,0.06,1.52,0.152,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,3.135,3.135,13.95,1.422,1422.04,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000276,2,2,8.9,0.907,907.2,0.12,0.12,3.05,0.305
LW 025 02 0275S,LW 025 02 0275S,LW025020275S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.275,0.275,6.99,0.699,0.025,0.025,0.64,0.064,15,15,2.627,26.27,0.2679,2.679,267.87,2678.7,3.75,3.75,0.6567,6.567,0.06697,0.6697,66.968,669.68,0.072,0.072,1.83,0.183,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,3.045,3.045,13.54,1.381,1381.21,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000337,2,2,8.9,0.907,907.2,0.14,0.14,3.56,0.356
LW 025 02 0325S,LW 025 02 0325S,LW025020325S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.325,0.325,8.26,0.826,0.03,0.03,0.76,0.076,13,13,2.277,22.77,0.2322,2.322,232.15,2321.5,3.25,3.25,0.5692,5.692,0.05804,0.5804,58.039,580.39,0.084,0.084,2.13,0.213,0.006,0.006,0.15,0.015,Stainless Steel Type 17-7 PH,17-7 PH,3.133,3.133,13.94,1.421,1421.13,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000399,2,2,8.9,0.907,907.2,0.17,0.17,4.32,0.432
LW 025 05 0075S,LW 025 05 0075S,LW025050075S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.075,0.075,1.91,0.191,0.03,0.03,0.76,0.076,132,132,23.118,231.18,2.3573,23.573,2357.26,23572.6,33,33,5.7794,57.794,0.58931,5.8931,589.314,5893.14,0.032,0.032,0.81,0.081,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7 PH,5.676,5.676,25.25,2.575,2574.63,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000123,5,5,22.24,2.268,2268,0.037,0.037,0.94,0.094
LW 025 05 0100S,LW 025 05 0100S,LW025050100S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.1,0.1,2.54,0.254,0.03,0.03,0.76,0.076,96,96,16.813,168.13,1.7144,17.144,1714.37,17143.7,24,24,4.2032,42.032,0.42859,4.2859,428.592,4285.92,0.04,0.04,1.02,0.102,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7 PH,5.76,5.76,25.62,2.613,2612.74,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000164,5,5,22.24,2.268,2268,0.048,0.048,1.22,0.122
