title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
MS24585-222,MS24585-222,MS24585222,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.62,0.62,15.75,1.575,Reference,Reference,Reference,Reference,7.4,7.4,1.296,12.96,0.1321,1.321,132.15,1321.5,0.74,0.74,0.1296,1.296,0.01321,0.1321,13.215,132.15,0.117,0.117,2.97,0.297,0.026,0.026,0.66,,Music Wire,MW,3.701,3.701,16.46,1.679,1678.77,Squared and Ground,Factory Option,2.5,2.5,Reference,Reference,4.5,4.5,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.000761
MS24585-223,MS24585-223,MS24585223,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.69,0.69,17.53,1.753,Reference,Reference,Reference,Reference,6.7,6.7,1.173,11.73,0.1196,1.196,119.65,1196.5,0.67,0.67,0.1173,1.173,0.01196,0.1196,11.965,119.65,0.123,0.123,3.12,0.312,0.026,0.026,0.66,,Music Wire,MW,3.79,3.79,16.86,1.719,1719.14,Squared and Ground,Factory Option,2.75,2.75,Reference,Reference,4.75,4.75,None,1,MIL SPEC Compression (MS24585),ASTM A228,0.308,0.308,7.82,0.782,Reference,Reference,Reference,Reference,,0.000803
MS24585-2230,MS24585-2230,MS245852230,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.5,0.5,12.7,1.27,Reference,Reference,Reference,Reference,17.9,17.9,3.135,31.35,0.3197,3.197,319.66,3196.6,1.79,1.79,0.3135,3.135,0.03197,0.3197,31.966,319.66,0.144,0.144,3.66,0.366,0.032,0.032,0.81,,Music Wire,MW,6.347,6.347,28.23,2.879,2879,Squared and Ground,Factory Option,2.5,2.5,Reference,Reference,4.5,4.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001132
MS24585-2231,MS24585-2231,MS245852231,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.56,0.56,14.22,1.422,Reference,Reference,Reference,Reference,16.3,16.3,2.855,28.55,0.2911,2.911,291.09,2910.9,1.63,1.63,0.2855,2.855,0.02911,0.2911,29.109,291.09,0.152,0.152,3.86,0.386,0.032,0.032,0.81,,Music Wire,MW,6.613,6.613,29.42,3,2999.66,Squared and Ground,Factory Option,2.75,2.75,Reference,Reference,4.75,4.75,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001195
MS24585-2232,MS24585-2232,MS245852232,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.62,0.62,15.75,1.575,Reference,Reference,Reference,Reference,14.9,14.9,2.609,26.09,0.2661,2.661,266.08,2660.8,1.49,1.49,0.2609,2.609,0.02661,0.2661,26.608,266.08,0.16,0.16,4.06,0.406,0.032,0.032,0.81,,Music Wire,MW,6.834,6.834,30.4,3.1,3099.9,Squared and Ground,Factory Option,3,3,Reference,Reference,5,5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001257
MS24585-2233,MS24585-2233,MS245852233,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.69,0.69,17.53,1.753,Reference,Reference,Reference,Reference,12.8,12.8,2.242,22.42,0.2286,2.286,228.58,2285.8,1.28,1.28,0.2242,2.242,0.02286,0.2286,22.858,228.58,0.176,0.176,4.47,0.447,0.032,0.032,0.81,,Music Wire,MW,6.546,6.546,29.12,2.969,2969.27,Squared and Ground,Factory Option,3.5,3.5,Reference,Reference,5.5,5.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001383
MS24585-2234,MS24585-2234,MS245852234,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.75,0.75,19.05,1.905,Reference,Reference,Reference,Reference,11.9,11.9,2.084,20.84,0.2125,2.125,212.51,2125.1,1.19,1.19,0.2084,2.084,0.02125,0.2125,21.251,212.51,0.184,0.184,4.67,0.467,0.032,0.032,0.81,,Music Wire,MW,6.728,6.728,29.93,3.052,3051.82,Squared and Ground,Factory Option,3.75,3.75,Reference,Reference,5.75,5.75,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001446
MS24585-2235,MS24585-2235,MS245852235,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.81,0.81,20.57,2.057,Reference,Reference,Reference,Reference,11.2,11.2,1.961,19.61,0.2,2,200.01,2000.1,1.12,1.12,0.1961,1.961,0.02,0.2,20.001,200.01,0.192,0.192,4.88,0.488,0.032,0.032,0.81,,Music Wire,MW,6.886,6.886,30.63,3.123,3123.49,Squared and Ground,Factory Option,4,4,Reference,Reference,6,6,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001509
MS24585-2236,MS24585-2236,MS245852236,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.88,0.88,22.35,2.235,Reference,Reference,Reference,Reference,9.9,9.9,1.734,17.34,0.1768,1.768,176.79,1767.9,0.99,0.99,0.1734,1.734,0.01768,0.1768,17.679,176.79,0.208,0.208,5.28,0.528,0.032,0.032,0.81,,Music Wire,MW,6.656,6.656,29.61,3.019,3019.16,Squared and Ground,Factory Option,4.5,4.5,Reference,Reference,6.5,6.5,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001635
MS24585-2237,MS24585-2237,MS245852237,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,D,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,0,,0,,,,,0.94,0.94,23.88,2.388,Reference,Reference,Reference,Reference,9.4,9.4,1.646,16.46,0.1679,1.679,167.87,1678.7,0.94,0.94,0.1646,1.646,0.01679,0.1679,16.787,167.87,0.216,0.216,5.49,0.549,0.032,0.032,0.81,,Music Wire,MW,6.794,6.794,30.22,3.082,3081.76,Squared and Ground,Factory Option,4.75,4.75,Reference,Reference,6.75,6.75,Zinc Plate and Bake per ASTM B633,1,MIL SPEC Compression (MS24585),ASTM A228,0.296,0.296,7.52,0.752,Reference,Reference,Reference,Reference,,0.001697
