title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 020AA 12S316,LC 020AA 12S316,LC020AA12S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.078,0.078,1.98,0.198,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.044,0.044,1.12,0.112,6.5832,6.583,1.153,11.53,0.1176,1.176,117.56,1175.6,0.658,0.658,0.1152,1.152,0.01175,0.1175,11.751,117.51,0.5816,0.582,14.77,1.477,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,4.6892,4.689,20.86,2.127,2127.02,Squared and Ground,Factory Option,26.233,26.233,Reference,Reference,28.233,28.233,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,,0.0008906
LC 020AA 13M,LC 020AA 13M,LC020AA13M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.078,0.078,1.98,0.198,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.053,0.053,1.35,0.135,6.5497,6.55,1.147,11.47,0.117,1.17,116.96,1169.6,0.655,0.655,0.1147,1.147,0.0117,0.117,11.697,116.97,0.6932,0.693,17.61,1.761,0.02,0.02,0.51,0.051,Music Wire,MW,5.6293,5.629,25.04,2.553,2553.45,Squared and Ground,Factory Option,31.6531,31.6531,Reference,Reference,33.6531,33.6531,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,,0.0010418
LC 020AA 13S,LC 020AA 13S,LC020AA13S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.078,0.078,1.98,0.198,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.053,0.053,1.35,0.135,5.4559,5.456,0.956,9.56,0.0974,0.974,97.43,974.3,0.546,0.546,0.0956,0.956,0.00975,0.0975,9.75,97.5,0.6932,0.693,17.61,1.761,0.02,0.02,0.51,0.051,Stainless Steel,SS,4.6892,4.689,20.86,2.127,2127.02,Squared and Ground,Factory Option,31.6531,31.6531,Reference,Reference,33.6531,33.6531,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,,0.0010616
LC 020AA 13S316,LC 020AA 13S316,LC020AA13S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.125,0.125,3.18,0.318,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.141,0.141,3.58,0.358,0.078,0.078,1.98,0.198,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.053,0.053,1.35,0.135,5.4559,5.456,0.956,9.56,0.0974,0.974,97.43,974.3,0.546,0.546,0.0956,0.956,0.00975,0.0975,9.75,97.5,0.6932,0.693,17.61,1.761,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,4.6892,4.689,20.86,2.127,2127.02,Squared and Ground,Factory Option,31.6531,31.6531,Reference,Reference,33.6531,33.6531,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,,0.0010616
LC 020B 01 M,LC 020B 01 M,LC020B01M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,21,21,3.678,36.78,0.375,3.75,375.02,3750.2,2.1,2.1,0.3678,3.678,0.0375,0.375,37.502,375.02,0.107,0.107,2.72,0.272,0.02,0.02,0.51,0.051,Music Wire,MW,3,3,13.34,1.361,1360.8,Squared and Ground,Factory Option,2.7901,2.7901,Reference,Reference,4.79,4.79,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.0002259
LC 020B 01 S,LC 020B 01 S,LC020B01S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,17.5,17.5,3.065,30.65,0.3125,3.125,312.52,3125.2,1.75,1.75,0.3065,3.065,0.03125,0.3125,31.252,312.52,0.107,0.107,2.72,0.272,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.499,2.499,11.12,1.134,1133.55,Squared and Ground,Factory Option,2.7901,2.7901,Reference,Reference,4.79,4.79,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.0002302
LC 020B 01 S316,LC 020B 01 S316,LC020B01S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,17.5,17.5,3.065,30.65,0.3125,3.125,312.52,3125.2,1.75,1.75,0.3065,3.065,0.03125,0.3125,31.252,312.52,0.107,0.107,2.72,0.272,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.499,2.499,11.12,1.134,1133.55,Squared and Ground,Factory Option,2.7901,2.7901,Reference,Reference,4.79,4.79,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.0002302
LC 020B 02 M,LC 020B 02 M,LC020B02M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,16,16,2.802,28.02,0.2857,2.857,285.73,2857.3,1.6,1.6,0.2802,2.802,0.02857,0.2857,28.573,285.73,0.125,0.125,3.18,0.318,0.02,0.02,0.51,0.051,Music Wire,MW,3,3,13.34,1.361,1360.8,Squared and Ground,Factory Option,3.6621,3.6621,Reference,Reference,5.66,5.66,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.0002671
LC 020B 02 S,LC 020B 02 S,LC020B02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,13.3,13.3,2.329,23.29,0.2375,2.375,237.51,2375.1,1.33,1.33,0.2329,2.329,0.02375,0.2375,23.751,237.51,0.125,0.125,3.18,0.318,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.499,2.499,11.12,1.134,1133.55,Squared and Ground,Factory Option,3.6712,3.6712,Reference,Reference,5.67,5.67,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.0002726
LC 020B 02 S316,LC 020B 02 S316,LC020B02S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.18,0.18,4.57,0.457,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.188,0.188,4.78,0.478,0.132,0.132,3.35,0.335,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,13.3,13.3,2.329,23.29,0.2375,2.375,237.51,2375.1,1.33,1.33,0.2329,2.329,0.02375,0.2375,23.751,237.51,0.125,0.125,3.18,0.318,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.499,2.499,11.12,1.134,1133.55,Squared and Ground,Factory Option,3.671,3.671,Reference,Reference,5.67,5.67,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.14,0.14,3.56,0.356,Reference,Reference,Reference,Reference,,0.000272
