stock_code,price_code,price,min,currency,display_price_range
LCM080CG 01 M,A,6.28,19,$,0-19
LCM080CG 01 M,B,3.6,49,$,20-49
LCM080CG 01 M,C,1.86,99,$,50-99
LCM080CG 01 M,D,1.13,199,$,100-199
LCM080CG 01 M,E,0.909,299,$,200-299
LCM080CG 01 M,F,0.819,399,$,300-399
LCM080CG 01 M,G,0.741,499,$,400-499
LCM080CG 01 M,H,0.67,599,$,500-599
LCM080CG 01 M,I,0.609,699,$,600-699
LCM080CG 01 M,J,0.555,799,$,700-799
LCM080CG 01 M,K,0.512,899,$,800-899
LCM080CG 01 M,L,0.475,999,$,900-999
LCM080CG 01 S,A,6.28,19,$,0-19
LCM080CG 01 S,B,3.6,49,$,20-49
LCM080CG 01 S,C,1.86,99,$,50-99
LCM080CG 01 S,D,1.13,199,$,100-199
LCM080CG 01 S,E,0.913,299,$,200-299
LCM080CG 01 S,F,0.825,399,$,300-399
LCM080CG 01 S,G,0.747,499,$,400-499
LCM080CG 01 S,H,0.679,599,$,500-599
LCM080CG 01 S,I,0.618,699,$,600-699
LCM080CG 01 S,J,0.566,799,$,700-799
LCM080CG 01 S,K,0.523,899,$,800-899
LCM080CG 01 S,L,0.489,999,$,900-999
LCM080CG 02 M,A,6.28,19,$,0-19
LCM080CG 02 M,B,3.6,49,$,20-49
LCM080CG 02 M,C,1.86,99,$,50-99
LCM080CG 02 M,D,1.13,199,$,100-199
LCM080CG 02 M,E,0.909,299,$,200-299
LCM080CG 02 M,F,0.819,399,$,300-399
LCM080CG 02 M,G,0.741,499,$,400-499
LCM080CG 02 M,H,0.67,599,$,500-599
LCM080CG 02 M,I,0.609,699,$,600-699
LCM080CG 02 M,J,0.555,799,$,700-799
LCM080CG 02 M,K,0.512,899,$,800-899
LCM080CG 02 M,L,0.475,999,$,900-999
LCM080CG 02 S,A,6.28,19,$,0-19
LCM080CG 02 S,B,3.6,49,$,20-49
LCM080CG 02 S,C,1.86,99,$,50-99
LCM080CG 02 S,D,1.13,199,$,100-199
LCM080CG 02 S,E,0.913,299,$,200-299
LCM080CG 02 S,F,0.825,399,$,300-399
LCM080CG 02 S,G,0.747,499,$,400-499
LCM080CG 02 S,H,0.679,599,$,500-599
LCM080CG 02 S,I,0.618,699,$,600-699
LCM080CG 02 S,J,0.566,799,$,700-799
LCM080CG 02 S,K,0.523,899,$,800-899
LCM080CG 02 S,L,0.489,999,$,900-999
LCM080CG 03 M,A,6.28,19,$,0-19
LCM080CG 03 M,B,3.6,49,$,20-49
LCM080CG 03 M,C,1.86,99,$,50-99
LCM080CG 03 M,D,1.13,199,$,100-199
LCM080CG 03 M,E,0.909,299,$,200-299
