stock_code,price_code,price,min,currency,display_price_range
CIM030A 02 S,A,6.68,19,$,0-19
CIM030A 02 S,B,3.85,49,$,20-49
CIM030A 02 S,C,2.01,99,$,50-99
CIM030A 02 S,D,1.25,199,$,100-199
CIM030A 02 S,E,1.02,299,$,200-299
CIM030A 02 S,F,0.93,399,$,300-399
CIM030A 02 S,G,0.849,499,$,400-499
CIM030A 02 S,H,0.775,599,$,500-599
CIM030A 02 S,I,0.711,699,$,600-699
CIM030A 02 S,J,0.657,799,$,700-799
CIM030A 02 S,K,0.612,899,$,800-899
CIM030A 02 S,L,0.577,999,$,900-999
CIM030A 03 M,A,6,19,$,0-19
CIM030A 03 M,B,3.44,49,$,20-49
CIM030A 03 M,C,1.75,99,$,50-99
CIM030A 03 M,D,1.11,199,$,100-199
CIM030A 03 M,E,0.93,299,$,200-299
CIM030A 03 M,F,0.85,399,$,300-399
CIM030A 03 M,G,0.775,499,$,400-499
CIM030A 03 M,H,0.709,599,$,500-599
CIM030A 03 M,I,0.652,699,$,600-699
CIM030A 03 M,J,0.603,799,$,700-799
CIM030A 03 M,K,0.561,899,$,800-899
CIM030A 03 M,L,0.529,999,$,900-999
CIM030A 03 S,A,6.68,19,$,0-19
CIM030A 03 S,B,3.85,49,$,20-49
CIM030A 03 S,C,2.01,99,$,50-99
CIM030A 03 S,D,1.25,199,$,100-199
CIM030A 03 S,E,1.02,299,$,200-299
CIM030A 03 S,F,0.93,399,$,300-399
CIM030A 03 S,G,0.849,499,$,400-499
CIM030A 03 S,H,0.775,599,$,500-599
CIM030A 03 S,I,0.711,699,$,600-699
CIM030A 03 S,J,0.657,799,$,700-799
CIM030A 03 S,K,0.612,899,$,800-899
CIM030A 03 S,L,0.577,999,$,900-999
CIM030A 04 M,A,6,19,$,0-19
CIM030A 04 M,B,3.44,49,$,20-49
CIM030A 04 M,C,1.75,99,$,50-99
CIM030A 04 M,D,1.11,199,$,100-199
CIM030A 04 M,E,0.93,299,$,200-299
CIM030A 04 M,F,0.85,399,$,300-399
CIM030A 04 M,G,0.775,499,$,400-499
CIM030A 04 M,H,0.709,599,$,500-599
CIM030A 04 M,I,0.652,699,$,600-699
CIM030A 04 M,J,0.603,799,$,700-799
CIM030A 04 M,K,0.561,899,$,800-899
CIM030A 04 M,L,0.529,999,$,900-999
CIM030A 04 S,A,6.68,19,$,0-19
CIM030A 04 S,B,3.85,49,$,20-49
CIM030A 04 S,C,2.01,99,$,50-99
CIM030A 04 S,D,1.25,199,$,100-199
CIM030A 04 S,E,1.02,299,$,200-299
CIM030A 04 S,F,0.93,399,$,300-399
CIM030A 04 S,G,0.849,499,$,400-499
CIM030A 04 S,H,0.775,599,$,500-599
CIM030A 04 S,I,0.711,699,$,600-699
CIM030A 04 S,J,0.657,799,$,700-799
CIM030A 04 S,K,0.612,899,$,800-899
CIM030A 04 S,L,0.577,999,$,900-999
CIM030A 05 M,A,6,19,$,0-19
CIM030A 05 M,B,3.44,49,$,20-49
CIM030A 05 M,C,1.75,99,$,50-99
CIM030A 05 M,D,1.11,199,$,100-199
CIM030A 05 M,E,0.93,299,$,200-299
CIM030A 05 M,F,0.85,399,$,300-399
CIM030A 05 M,G,0.775,499,$,400-499
CIM030A 05 M,H,0.709,599,$,500-599
CIM030A 05 M,I,0.652,699,$,600-699
CIM030A 05 M,J,0.603,799,$,700-799
CIM030A 05 M,K,0.561,899,$,800-899
CIM030A 05 M,L,0.529,999,$,900-999
CIM030A 05 S,A,6.68,19,$,0-19
CIM030A 05 S,B,3.85,49,$,20-49
CIM030A 05 S,C,2.01,99,$,50-99
CIM030A 05 S,D,1.25,199,$,100-199
CIM030A 05 S,E,1.02,299,$,200-299
CIM030A 05 S,F,0.93,399,$,300-399
CIM030A 05 S,G,0.849,499,$,400-499
CIM030A 05 S,H,0.775,599,$,500-599
CIM030A 05 S,I,0.711,699,$,600-699
CIM030A 05 S,J,0.657,799,$,700-799
CIM030A 05 S,K,0.612,899,$,800-899
CIM030A 05 S,L,0.577,999,$,900-999
CIM030A 06 M,A,6,19,$,0-19
CIM030A 06 M,B,3.44,49,$,20-49
CIM030A 06 M,C,1.75,99,$,50-99
CIM030A 06 M,D,1.11,199,$,100-199
CIM030A 06 M,E,0.93,299,$,200-299
CIM030A 06 M,F,0.85,399,$,300-399
CIM030A 06 M,G,0.775,499,$,400-499
CIM030A 06 M,H,0.709,599,$,500-599
CIM030A 06 M,I,0.652,699,$,600-699
CIM030A 06 M,J,0.603,799,$,700-799
CIM030A 06 M,K,0.561,899,$,800-899
CIM030A 06 M,L,0.529,999,$,900-999
CIM030A 06 S,A,6.68,19,$,0-19
CIM030A 06 S,B,3.85,49,$,20-49
CIM030A 06 S,C,2.01,99,$,50-99
CIM030A 06 S,D,1.25,199,$,100-199
CIM030A 06 S,E,1.02,299,$,200-299
CIM030A 06 S,F,0.93,399,$,300-399
CIM030A 06 S,G,0.849,499,$,400-499
CIM030A 06 S,H,0.775,599,$,500-599
CIM030A 06 S,I,0.711,699,$,600-699
CIM030A 06 S,J,0.657,799,$,700-799
CIM030A 06 S,K,0.612,899,$,800-899
CIM030A 06 S,L,0.577,999,$,900-999
CIM030A 07 M,A,6,19,$,0-19
CIM030A 07 M,B,3.44,49,$,20-49
CIM030A 07 M,C,1.75,99,$,50-99
CIM030A 07 M,D,1.11,199,$,100-199
CIM030A 07 M,E,0.93,299,$,200-299
CIM030A 07 M,F,0.85,399,$,300-399
CIM030A 07 M,G,0.775,499,$,400-499
CIM030A 07 M,H,0.709,599,$,500-599
CIM030A 07 M,I,0.652,699,$,600-699
CIM030A 07 M,J,0.603,799,$,700-799
CIM030A 07 M,K,0.561,899,$,800-899
CIM030A 07 M,L,0.529,999,$,900-999
CIM030A 07 S,A,6.68,19,$,0-19
CIM030A 07 S,B,3.85,49,$,20-49
CIM030A 07 S,C,2.01,99,$,50-99
CIM030A 07 S,D,1.25,199,$,100-199
CIM030A 07 S,E,1.02,299,$,200-299
CIM030A 07 S,F,0.93,399,$,300-399
CIM030A 07 S,G,0.849,499,$,400-499
CIM030A 07 S,H,0.775,599,$,500-599
CIM030A 07 S,I,0.711,699,$,600-699
CIM030A 07 S,J,0.657,799,$,700-799
CIM030A 07 S,K,0.612,899,$,800-899
CIM030A 07 S,L,0.577,999,$,900-999
CIM030AA 01M,A,6,19,$,0-19
CIM030AA 01M,B,3.44,49,$,20-49
CIM030AA 01M,C,1.75,99,$,50-99
CIM030AA 01M,D,1.11,199,$,100-199
CIM030AA 01M,E,0.93,299,$,200-299
CIM030AA 01M,F,0.85,399,$,300-399
CIM030AA 01M,G,0.775,499,$,400-499
CIM030AA 01M,H,0.709,599,$,500-599
CIM030AA 01M,I,0.652,699,$,600-699
CIM030AA 01M,J,0.603,799,$,700-799
CIM030AA 01M,K,0.561,899,$,800-899
CIM030AA 01M,L,0.529,999,$,900-999
CIM030AA 01S,A,6.68,19,$,0-19
CIM030AA 01S,B,3.85,49,$,20-49
CIM030AA 01S,C,2.01,99,$,50-99
CIM030AA 01S,D,1.25,199,$,100-199
CIM030AA 01S,E,1.02,299,$,200-299
CIM030AA 01S,F,0.93,399,$,300-399
CIM030AA 01S,G,0.849,499,$,400-499
CIM030AA 01S,H,0.775,599,$,500-599
CIM030AA 01S,I,0.711,699,$,600-699
CIM030AA 01S,J,0.657,799,$,700-799
CIM030AA 01S,K,0.612,899,$,800-899
CIM030AA 01S,L,0.577,999,$,900-999
CIM030AA 02M,A,6,19,$,0-19
CIM030AA 02M,B,3.44,49,$,20-49
CIM030AA 02M,C,1.75,99,$,50-99
CIM030AA 02M,D,1.11,199,$,100-199
CIM030AA 02M,E,0.93,299,$,200-299
CIM030AA 02M,F,0.85,399,$,300-399
CIM030AA 02M,G,0.775,499,$,400-499
CIM030AA 02M,H,0.709,599,$,500-599
