title,model,field_published_stock_code,field_product_type,field_product_category,field_spring_type,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_appr_num_coil_buld_spec_in,field_appr_num_coils_per_in,field_appr_num_coils_per_mm,field_appr_num_coils_per_cm,field_stiffness_build_spec_lb_in,field_stiffness_lb_in,field_stiffness_n_mm,field_stiffness_n_cm,field_stiffness_kg_mm,field_stiffness_kg_cm,field_stiffness_gm_mm,field_stiffness_gm_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_direction_of_wind,field_total_coils_bd_spe,field_total_coils,field_finish,field_weight_per_item_lb
LEC016A 36 M,LEC016A 36 M,LEC016A36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.2029,0.203,0.03553,0.3553,0.00362,0.0362,3.62,36.2,+/-0.02,+/-0.02,+/-0.0035,+/-0.035,+/-0.00036,+/-0.0036,+/-0.357,+/-3.57,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,75.909,75.9,433.4,4334,1.356,13.56,1356,13560,0.016,0.016,0.41,0.041,0.2,0.2,0.89,0.091,91,+/-0.04,+/-0.04,+/-0.178,+/-0.018,+/-18,Right Hand,2249,2249,Light Oil Coat,0.046299
LEC016A 36 S,LEC016A 36 S,LEC016A36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.1691,0.169,0.02961,0.2961,0.00302,0.0302,3.02,30.2,+/-0.017,+/-0.017,+/-0.00298,+/-0.0298,+/-0.0003,+/-0.003,+/-0.304,+/-3.04,0.093,0.093,2.36,0.236,Reference,Reference,Reference,Reference,62.5,62.5,2.5,24.6,63.257,63.3,361.2,3612,1.13,11.3,1130,11300,0.016,0.016,0.41,0.041,0.1666,0.17,0.74,0.076,76,+/-0.033,+/-0.033,+/-0.147,+/-0.015,+/-15,Right Hand,2249,2249,Natural,0.047181
LEC018A 12 M,LEC018A 12 M,LEC018A12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.3867,0.387,0.06772,0.6772,0.00691,0.0691,6.91,69.1,+/-0.039,+/-0.039,+/-0.00683,+/-0.0683,+/-0.0007,+/-0.007,+/-0.696,+/-6.96,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,128.538,128.5,733.9,7339,2.295,22.95,2295,22950,0.018,0.018,0.46,0.046,0.3,0.3,1.33,0.136,136,+/-0.06,+/-0.06,+/-0.267,+/-0.027,+/-27,Right Hand,665.6666,666,Light Oil Coat,0.017061
LEC018A 12 S,LEC018A 12 S,LEC018A12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.3223,0.322,0.05645,0.5645,0.00576,0.0576,5.76,57.6,+/-0.032,+/-0.032,+/-0.0056,+/-0.056,+/-0.00057,+/-0.0057,+/-0.571,+/-5.71,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,107.115,107.1,611.6,6116,1.913,19.13,1913,19130,0.018,0.018,0.46,0.046,0.2499,0.25,1.11,0.113,113,+/-0.05,+/-0.05,+/-0.222,+/-0.023,+/-23,Right Hand,665.6666,666,Natural,0.017386
LEC018A 24 M,LEC018A 24 M,LEC018A24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.3867,0.387,0.06772,0.6772,0.00691,0.0691,6.91,69.1,+/-0.039,+/-0.039,+/-0.00683,+/-0.0683,+/-0.0007,+/-0.007,+/-0.696,+/-6.96,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,128.538,128.5,733.9,7339,2.295,22.95,2295,22950,0.018,0.018,0.46,0.046,0.3,0.3,1.33,0.136,136,+/-0.06,+/-0.06,+/-0.267,+/-0.027,+/-27,Right Hand,1332.3333,1332,Light Oil Coat,0.034097
LEC018A 24 S,LEC018A 24 S,LEC018A24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.3223,0.322,0.05645,0.5645,0.00576,0.0576,5.76,57.6,+/-0.032,+/-0.032,+/-0.0056,+/-0.056,+/-0.00057,+/-0.0057,+/-0.571,+/-5.71,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,107.115,107.1,611.6,6116,1.913,19.13,1913,19130,0.018,0.018,0.46,0.046,0.2499,0.25,1.11,0.113,113,+/-0.05,+/-0.05,+/-0.222,+/-0.023,+/-23,Right Hand,1332.3333,1332,Natural,0.034747
LEC018A 36 M,LEC018A 36 M,LEC018A36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.3867,0.387,0.06772,0.6772,0.00691,0.0691,6.91,69.1,+/-0.039,+/-0.039,+/-0.00683,+/-0.0683,+/-0.0007,+/-0.007,+/-0.696,+/-6.96,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,128.538,128.5,733.9,7339,2.295,22.95,2295,22950,0.018,0.018,0.46,0.046,0.3,0.3,1.33,0.136,136,+/-0.06,+/-0.06,+/-0.267,+/-0.027,+/-27,Right Hand,1999,1999,Light Oil Coat,0.051133
LEC018A 36 S,LEC018A 36 S,LEC018A36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.3223,0.322,0.05645,0.5645,0.00576,0.0576,5.76,57.6,+/-0.032,+/-0.032,+/-0.0056,+/-0.056,+/-0.00057,+/-0.0057,+/-0.571,+/-5.71,0.089,0.089,2.26,0.226,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,107.115,107.1,611.6,6116,1.913,19.13,1913,19130,0.018,0.018,0.46,0.046,0.2499,0.25,1.11,0.113,113,+/-0.05,+/-0.05,+/-0.222,+/-0.023,+/-23,Right Hand,1999,1999,Natural,0.052107
LEC018C 12 M,LEC018C 12 M,LEC018C12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.0379,0.038,0.00664,0.0664,0.00068,0.0068,0.68,6.8,+/-0.004,+/-0.004,+/-0.0007,+/-0.007,+/-0.00007,+/-0.0007,+/-0.071,+/-0.71,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,12.61,12.6,72,720,0.225,2.25,225,2250,0.018,0.018,0.46,0.046,0.1,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,665.6666,666,Light Oil Coat,0.036993
LEC018C 12 S,LEC018C 12 S,LEC018C12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.0316,0.032,0.00553,0.0553,0.00056,0.0056,0.56,5.6,+/-0.003,+/-0.003,+/-0.00053,+/-0.0053,+/-0.00005,+/-0.0005,+/-0.054,+/-0.54,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,10.508,10.5,60,600,0.188,1.88,188,1880,0.018,0.018,0.46,0.046,0.0833,0.08,0.37,0.038,38,+/-0.017,+/-0.017,+/-0.076,+/-0.008,+/-8,Right Hand,665.6666,666,Natural,0.037698
LEC018C 24 M,LEC018C 24 M,LEC018C24M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0379,0.038,0.00664,0.0664,0.00068,0.0068,0.68,6.8,+/-0.004,+/-0.004,+/-0.0007,+/-0.007,+/-0.00007,+/-0.0007,+/-0.071,+/-0.71,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,12.61,12.6,72,720,0.225,2.25,225,2250,0.018,0.018,0.46,0.046,0.1,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,1332.3333,1332,Light Oil Coat,0.073931
LEC018C 24 S,LEC018C 24 S,LEC018C24S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,24,24,610,61,+/-0.480,+/-0.480,+/-12,+/-1.2,0.0316,0.032,0.00553,0.0553,0.00056,0.0056,0.56,5.6,+/-0.003,+/-0.003,+/-0.00053,+/-0.0053,+/-0.00005,+/-0.0005,+/-0.054,+/-0.54,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,10.508,10.5,60,600,0.188,1.88,188,1880,0.018,0.018,0.46,0.046,0.0833,0.08,0.37,0.038,38,+/-0.017,+/-0.017,+/-0.076,+/-0.008,+/-8,Right Hand,1332.3333,1332,Natural,0.075339
LEC018C 36 M,LEC018C 36 M,LEC018C36M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0379,0.038,0.00664,0.0664,0.00068,0.0068,0.68,6.8,+/-0.004,+/-0.004,+/-0.0007,+/-0.007,+/-0.00007,+/-0.0007,+/-0.071,+/-0.71,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,12.61,12.6,72,720,0.225,2.25,225,2250,0.018,0.018,0.46,0.046,0.1,0.1,0.44,0.045,45,+/-0.02,+/-0.02,+/-0.089,+/-0.009,+/-9,Right Hand,1999,1999,Light Oil Coat,0.110868
LEC018C 36 S,LEC018C 36 S,LEC018C36S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.25,0.25,6.35,0.635,+/-0.005,+/-0.005,+/-0.13,+/-0.013,36,36,914,91.4,+/-0.720,+/-0.720,+/-18,+/-1.8,0.0316,0.032,0.00553,0.0553,0.00056,0.0056,0.56,5.6,+/-0.003,+/-0.003,+/-0.00053,+/-0.0053,+/-0.00005,+/-0.0005,+/-0.054,+/-0.54,0.214,0.214,5.44,0.544,Reference,Reference,Reference,Reference,55.556,55.5,2.2,21.9,10.508,10.5,60,600,0.188,1.88,188,1880,0.018,0.018,0.46,0.046,0.0833,0.08,0.37,0.038,38,+/-0.017,+/-0.017,+/-0.076,+/-0.008,+/-8,Right Hand,1999,1999,Natural,0.11298
LEC020A 12 M,LEC020A 12 M,LEC020A12M,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Music Wire,MW,ASTM A228,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.6933,0.693,0.12142,1.2142,0.01238,0.1238,12.38,123.8,+/-0.069,+/-0.069,+/-0.01208,+/-0.1208,+/-0.00123,+/-0.0123,+/-1.232,+/-12.32,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,50,50,2,19.7,207.321,207.3,1183.8,11838,3.702,37.02,3702,37020,0.02,0.02,0.51,0.051,0.4,0.4,1.78,0.181,181,+/-0.08,+/-0.08,+/-0.356,+/-0.036,+/-36,Right Hand,599,599,Light Oil Coat,0.018606
LEC020A 12 S,LEC020A 12 S,LEC020A12S,Specialty Spring,Stock,Continuous Length Extension,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Stainless Steel,SS,ASTM A313,0.125,0.125,3.18,0.318,+/-0.005,+/-0.005,+/-0.13,+/-0.013,12,12,305,30.5,+/-0.24,+/-0.24,+/-6,+/-0.6,0.5778,0.578,0.10119,1.0119,0.01032,0.1032,10.32,103.2,+/-0.058,+/-0.058,+/-0.01016,+/-0.1016,+/-0.00104,+/-0.0104,+/-1.036,+/-10.36,0.085,0.085,2.16,0.216,Reference,Reference,Reference,Reference,50,50,2,19.7,172.768,172.8,986.5,9865,3.085,30.85,3085,30850,0.02,0.02,0.51,0.051,0.3332,0.33,1.48,0.151,151,+/-0.067,+/-0.067,+/-0.298,+/-0.03,+/-30,Right Hand,599,599,Natural,0.01896
