title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 085H 06 M,LE 085H 06 M,LE085H06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4,4,101.6,10.16,0.06,0.06,1.52,0.152,5.8,5.8,1.016,10.16,0.1036,1.036,103.6,1036,0.58,0.58,0.1016,1.016,0.01036,0.1036,10.36,103.6,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,30.1546,30.2,0.085,0.085,2.16,0.216,Standard Loops,2.4,2.4,10.676,1.0886,1088.6,0.48,0.48,2.1351,0.21773,217.73,25.9,25.9,115.209,11.7482,11748.2,8.05,8.05,204.47,20.447,2.64,2.64,67.06,6.706,Factory Option,Zinc Plate and Bake per ASTM B633,0.131,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 06 S,LE 085H 06 S,LE085H06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4,4,101.6,10.16,0.06,0.06,1.52,0.152,4.83,4.83,0.846,8.46,0.0863,0.863,86.3,863,0.483,0.483,0.0846,0.846,0.00863,0.0863,8.63,86.3,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,30.1754,30.2,0.085,0.085,2.16,0.216,Standard Loops,1.9992,1.9992,8.893,0.9068,906.8,0.39984,0.39984,1.7786,0.18137,181.37,21.5747,21.5747,95.969,9.7863,9786.3,8.05,8.05,204.47,20.447,2.64,2.64,67.06,6.706,Factory Option,Passivate per ASTM A967,0.13358,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 07 M,LE 085H 07 M,LE085H07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4.5,4.5,114.3,11.43,0.075,0.075,1.91,0.191,4.9,4.9,0.858,8.58,0.0875,0.875,87.5,875,0.49,0.49,0.0858,0.858,0.00875,0.0875,8.75,87.5,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,35.6932,35.7,0.085,0.085,2.16,0.216,Standard Loops,2.4,2.4,10.676,1.0886,1088.6,0.48,0.48,2.1351,0.21773,217.73,25.9,25.9,115.209,11.7482,11748.2,9.3,9.3,236.22,23.622,3.14,3.14,79.76,7.976,Factory Option,Zinc Plate and Bake per ASTM B633,0.15356,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 07 S,LE 085H 07 S,LE085H07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4.5,4.5,114.3,11.43,0.075,0.075,1.91,0.191,4.08,4.08,0.715,7.15,0.0729,0.729,72.9,729,0.408,0.408,0.0715,0.715,0.00729,0.0729,7.29,72.9,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,35.7224,35.7,0.085,0.085,2.16,0.216,Standard Loops,1.9992,1.9992,8.893,0.9068,906.8,0.39984,0.39984,1.7786,0.18137,181.37,21.5747,21.5747,95.969,9.7863,9786.3,9.3,9.3,236.22,23.622,3.14,3.14,79.76,7.976,Factory Option,Passivate per ASTM A967,0.15661,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 08 M,LE 085H 08 M,LE085H08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4.75,4.75,120.65,12.065,0.075,0.075,1.91,0.191,4.5,4.5,0.788,7.88,0.0804,0.804,80.4,804,0.45,0.45,0.0788,0.788,0.00804,0.0804,8.04,80.4,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,38.866,38.9,0.085,0.085,2.16,0.216,Standard Loops,2.4,2.4,10.676,1.0886,1088.6,0.48,0.48,2.1351,0.21773,217.73,25.9,25.9,115.209,11.7482,11748.2,9.9699,9.9699,253.24,25.324,3.39,3.39,86.11,8.611,Factory Option,Zinc Plate and Bake per ASTM B633,0.16649,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 08 S,LE 085H 08 S,LE085H08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,4.75,4.75,120.65,12.065,0.075,0.075,1.91,0.191,3.75,3.75,0.657,6.57,0.067,0.67,67,670,0.375,0.375,0.0657,0.657,0.0067,0.067,6.7,67,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,38.866,38.9,0.085,0.085,2.16,0.216,Standard Loops,1.9992,1.9992,8.893,0.9068,906.8,0.39984,0.39984,1.7786,0.18137,181.37,21.5747,21.5747,95.969,9.7863,9786.3,9.9699,9.9699,253.24,25.324,3.39,3.39,86.11,8.611,Factory Option,Passivate per ASTM A967,0.16966,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 09 M,LE 085H 09 M,LE085H09M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,5,5,127,12.7,0.075,0.075,1.91,0.191,4.1,4.1,0.718,7.18,0.0732,0.732,73.2,732,0.41,0.41,0.0718,0.718,0.00732,0.0732,7.32,73.2,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,42.6578,42.7,0.085,0.085,2.16,0.216,Standard Loops,2.4,2.4,10.676,1.0886,1088.6,0.48,0.48,2.1351,0.21773,217.73,25.9,25.9,115.209,11.7482,11748.2,10.73,10.73,272.54,27.254,3.64,3.64,92.46,9.246,Factory Option,Zinc Plate and Bake per ASTM B633,0.18194,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 09 S,LE 085H 09 S,LE085H09S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,5,5,127,12.7,0.075,0.075,1.91,0.191,3.42,3.42,0.599,5.99,0.0611,0.611,61.1,611,0.342,0.342,0.0599,0.599,0.00611,0.0611,6.11,61.1,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,42.6162,42.6,0.085,0.085,2.16,0.216,Standard Loops,1.9992,1.9992,8.893,0.9068,906.8,0.39984,0.39984,1.7786,0.18137,181.37,21.5747,21.5747,95.969,9.7863,9786.3,10.73,10.73,272.54,27.254,3.64,3.64,92.46,9.246,Factory Option,Passivate per ASTM A967,0.18523,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 10 M,LE 085H 10 M,LE085H10M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,5.5,5.5,139.7,13.97,0.093,0.093,2.36,0.236,3.6,3.6,0.63,6.3,0.0643,0.643,64.3,643,0.36,0.36,0.063,0.63,0.00643,0.0643,6.43,64.3,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,48.5825,48.6,0.085,0.085,2.16,0.216,Standard Loops,2.4,2.4,10.676,1.0886,1088.6,0.48,0.48,2.1351,0.21773,217.73,25.9,25.9,115.209,11.7482,11748.2,12.03,12.03,305.56,30.556,4.14,4.14,105.16,10.516,Factory Option,Zinc Plate and Bake per ASTM B633,0.20608,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
LE 085H 10 S,LE 085H 10 S,LE085H10S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.85,0.85,21.59,2.159,0.015,0.015,0.38,0.038,5.5,5.5,139.7,13.97,0.093,0.093,2.36,0.236,3,3,0.525,5.25,0.0536,0.536,53.6,536,0.3,0.3,0.0525,0.525,0.00536,0.0536,5.36,53.6,0.68,0.68,17.27,1.727,REF,Reference,Reference,Reference,48.5825,48.6,0.085,0.085,2.16,0.216,Standard Loops,1.9992,1.9992,8.893,0.9068,906.8,0.39984,0.39984,1.7786,0.18137,181.37,21.5747,21.5747,95.969,9.7863,9786.3,12.03,12.03,305.56,30.556,4.14,4.14,105.16,10.516,Factory Option,Passivate per ASTM A967,0.21,0.68,0.68,17.27,1.727,Random,0.085,0.085,2.16,0.216
