stock_code,price_code,price,min,currency,display_price_range
LE 063FG 05M,A,8.26,19,$,0-19
LE 063FG 05M,B,4.8,49,$,20-49
LE 063FG 05M,C,2.62,99,$,50-99
LE 063FG 05M,D,1.67,199,$,100-199
LE 063FG 05M,E,1.428,299,$,200-299
LE 063FG 05M,F,1.331,399,$,300-399
LE 063FG 05M,G,1.245,499,$,400-499
LE 063FG 05M,H,1.167,599,$,500-599
LE 063FG 05M,I,1.1,699,$,600-699
LE 063FG 05M,J,1.041,799,$,700-799
LE 063FG 05M,K,0.994,899,$,800-899
LE 063FG 05M,L,0.954,999,$,900-999
LE 063FG 05S,A,9.45,19,$,0-19
LE 063FG 05S,B,5.58,49,$,20-49
LE 063FG 05S,C,3.11,99,$,50-99
LE 063FG 05S,D,2.03,199,$,100-199
LE 063FG 05S,E,1.719,299,$,200-299
LE 063FG 05S,F,1.593,399,$,300-399
LE 063FG 05S,G,1.48,499,$,400-499
LE 063FG 05S,H,1.379,599,$,500-599
LE 063FG 05S,I,1.291,699,$,600-699
LE 063FG 05S,J,1.215,799,$,700-799
LE 063FG 05S,K,1.154,899,$,800-899
LE 063FG 05S,L,1.103,999,$,900-999
LE 063FG 05S316,A,18.86,19,$,0-19
LE 063FG 05S316,B,12.21,49,$,20-49
LE 063FG 05S316,C,8.53,99,$,50-99
LE 063FG 05S316,D,6.34,199,$,100-199
LE 063FG 05S316,E,5.828,299,$,200-299
LE 063FG 05S316,F,4.931,399,$,300-399
LE 063FG 05S316,G,4.256,499,$,400-499
LE 063FG 05S316,H,3.752,599,$,500-599
LE 063FG 05S316,I,3.364,699,$,600-699
LE 063FG 05S316,J,3.055,799,$,700-799
LE 063FG 05S316,K,2.804,899,$,800-899
LE 063FG 05S316,L,2.595,999,$,900-999
LE 063FG 06M,A,8.52,19,$,0-19
LE 063FG 06M,B,4.99,49,$,20-49
LE 063FG 06M,C,2.72,99,$,50-99
LE 063FG 06M,D,1.74,199,$,100-199
LE 063FG 06M,E,1.481,299,$,200-299
LE 063FG 06M,F,1.379,399,$,300-399
LE 063FG 06M,G,1.288,499,$,400-499
LE 063FG 06M,H,1.206,599,$,500-599
LE 063FG 06M,I,1.134,699,$,600-699
LE 063FG 06M,J,1.074,799,$,700-799
LE 063FG 06M,K,1.023,899,$,800-899
LE 063FG 06M,L,0.983,999,$,900-999
LE 063FG 06S,A,10.46,19,$,0-19
LE 063FG 06S,B,6.22,49,$,20-49
LE 063FG 06S,C,3.54,99,$,50-99
LE 063FG 06S,D,2.34,199,$,100-199
LE 063FG 06S,E,1.947,299,$,200-299
LE 063FG 06S,F,1.795,399,$,300-399
LE 063FG 06S,G,1.657,499,$,400-499
LE 063FG 06S,H,1.534,599,$,500-599
LE 063FG 06S,I,1.426,699,$,600-699
LE 063FG 06S,J,1.334,799,$,700-799
LE 063FG 06S,K,1.256,899,$,800-899
LE 063FG 06S,L,1.195,999,$,900-999
LE 063FG 06S316,A,21.56,19,$,0-19
LE 063FG 06S316,B,14.15,49,$,20-49
LE 063FG 06S316,C,9.85,99,$,50-99
LE 063FG 06S316,D,7.48,199,$,100-199
LE 063FG 06S316,E,6.452,299,$,200-299
