title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_base_in,field_outside_dia_base_mm,field_outside_dia_base_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
EI 011AA 04S,EI 011AA 04S,EI011AA04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,2.115,2.115,0.37,3.7,0.0378,0.378,37.8,378,0.211,0.211,0.037,0.37,0.00377,0.0377,3.77,37.7,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,28.614,28.6,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.864,0.864,3.843,0.3919,391.9,0.811,0.811,20.6,2.06,0.326,0.326,8.28,0.828,Factory Option,Passivate per ASTM A967,0.00019,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 04S316,EI 011AA 04S316,EI011AA04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,2.115,2.115,0.37,3.7,0.0378,0.378,37.8,378,0.211,0.211,0.037,0.37,0.00377,0.0377,3.77,37.7,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,28.614,28.6,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.648,0.648,2.882,0.2939,293.9,0.708,0.708,17.98,1.798,0.326,0.326,8.28,0.828,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00019,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 05M,EI 011AA 05M,EI011AA05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,2.12,2.12,0.371,3.71,0.0379,0.379,37.9,379,0.212,0.212,0.0371,0.371,0.00379,0.0379,3.79,37.9,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,34.25,34.3,0.011,0.011,0.28,0.028,Standard Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.03,1.03,4.582,0.4672,467.2,0.943,0.943,23.95,2.395,0.388,0.388,9.86,0.986,Factory Option,Pre-coated with Tin,0.00022,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 05S,EI 011AA 05S,EI011AA05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,1.767,1.767,0.309,3.09,0.0316,0.316,31.6,316,0.176,0.176,0.0308,0.308,0.00314,0.0314,3.14,31.4,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,34.25,34.3,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.864,0.864,3.843,0.3919,391.9,0.947,0.947,24.05,2.405,0.388,0.388,9.86,0.986,Factory Option,Passivate per ASTM A967,0.00022,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 05S316,EI 011AA 05S316,EI011AA05S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,1.767,1.767,0.309,3.09,0.0316,0.316,31.6,316,0.176,0.176,0.0308,0.308,0.00314,0.0314,3.14,31.4,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,34.25,34.3,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.648,0.648,2.882,0.2939,293.9,0.824,0.824,20.93,2.093,0.388,0.388,9.86,0.986,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00022,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 06M,EI 011AA 06M,EI011AA06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.02,0.02,0.51,0.051,1.592,1.592,0.279,2.79,0.0284,0.284,28.4,284,0.159,0.159,0.0278,0.278,0.00284,0.0284,2.84,28.4,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,45.614,45.6,0.011,0.011,0.28,0.028,Standard Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.03,1.03,4.582,0.4672,467.2,1.216,1.216,30.89,3.089,0.513,0.513,13.03,1.303,Factory Option,Pre-coated with Tin,0.00029,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 06S,EI 011AA 06S,EI011AA06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.02,0.02,0.51,0.051,1.327,1.327,0.232,2.32,0.0237,0.237,23.7,237,0.132,0.132,0.0231,0.231,0.00236,0.0236,2.36,23.6,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,45.614,45.6,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.864,0.864,3.843,0.3919,391.9,1.22,1.22,30.99,3.099,0.513,0.513,13.03,1.303,Factory Option,Passivate per ASTM A967,0.00029,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 06S316,EI 011AA 06S316,EI011AA06S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.02,0.02,0.51,0.051,1.327,1.327,0.232,2.32,0.0237,0.237,23.7,237,0.132,0.132,0.0231,0.231,0.00236,0.0236,2.36,23.6,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,45.614,45.6,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.648,0.648,2.882,0.2939,293.9,1.056,1.056,26.82,2.682,0.513,0.513,13.03,1.303,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00029,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 07M,EI 011AA 07M,EI011AA07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.02,0.02,0.51,0.051,1.274,1.274,0.223,2.23,0.0228,0.228,22.8,228,0.127,0.127,0.0222,0.222,0.00227,0.0227,2.27,22.7,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,56.977,57,0.011,0.011,0.28,0.028,Standard Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.03,1.03,4.582,0.4672,467.2,1.488,1.488,37.8,3.78,0.638,0.638,16.21,1.621,Factory Option,Pre-coated with Tin,0.00035,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 07S,EI 011AA 07S,EI011AA07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.02,0.02,0.51,0.051,1.062,1.062,0.186,1.86,0.019,0.19,19,190,0.106,0.106,0.0186,0.186,0.00189,0.0189,1.89,18.9,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,56.977,57,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.864,0.864,3.843,0.3919,391.9,1.493,1.493,37.92,3.792,0.638,0.638,16.21,1.621,Factory Option,Passivate per ASTM A967,0.00036,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 07S316,EI 011AA 07S316,EI011AA07S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.02,0.02,0.51,0.051,1.062,1.062,0.186,1.86,0.019,0.19,19,190,0.106,0.106,0.0186,0.186,0.00189,0.0189,1.89,18.9,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,56.977,57,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.648,0.648,2.882,0.2939,293.9,1.289,1.289,32.74,3.274,0.638,0.638,16.21,1.621,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00036,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 08M,EI 011AA 08M,EI011AA08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.02,0.02,0.51,0.051,1.062,1.062,0.186,1.86,0.019,0.19,19,190,0.106,0.106,0.0186,0.186,0.00189,0.0189,1.89,18.9,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,68.341,68.3,0.011,0.011,0.28,0.028,Standard Loops,0.09,0.09,0.4,0.0408,40.8,0.018,0.018,0.0801,0.00816,8.16,1.03,1.03,4.582,0.4672,467.2,1.76,1.76,44.7,4.47,0.763,0.763,19.38,1.938,Factory Option,Pre-coated with Tin,0.00042,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 08S,EI 011AA 08S,EI011AA08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.02,0.02,0.51,0.051,0.885,0.885,0.155,1.55,0.0158,0.158,15.8,158,0.088,0.088,0.0154,0.154,0.00157,0.0157,1.57,15.7,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,68.341,68.3,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.864,0.864,3.843,0.3919,391.9,1.766,1.766,44.86,4.486,0.763,0.763,19.38,1.938,Factory Option,Passivate per ASTM A967,0.00043,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011AA 08S316,EI 011AA 08S316,EI011AA08S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.02,0.02,0.51,0.051,0.885,0.885,0.155,1.55,0.0158,0.158,15.8,158,0.088,0.088,0.0154,0.154,0.00157,0.0157,1.57,15.7,0.056,0.056,1.42,0.142,REF,Reference,Reference,Reference,68.341,68.3,0.011,0.011,0.28,0.028,Standard Loops,0.075,0.075,0.334,0.034,34,0.014,0.014,0.0623,0.00635,6.35,0.648,0.648,2.882,0.2939,293.9,1.522,1.522,38.66,3.866,0.763,0.763,19.38,1.938,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00043,0.056,0.056,1.42,0.142,Random,0.011,0.011,0.28,0.028
EI 011B 01 M,EI 011B 01 M,EI011B01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,2,2,0.35,3.5,0.0357,0.357,35.7,357,0.2,0.2,0.035,0.35,0.00357,0.0357,3.57,35.7,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,19.2042,19.2,0.011,0.011,0.28,0.028,Standard Loops,0.07,0.07,0.311,0.0318,31.8,0.014,0.014,0.0623,0.00635,6.35,0.8,0.8,3.559,0.3629,362.9,0.745,0.745,18.92,1.892,0.231,0.231,5.87,0.587,Factory Option,Pre-coated with Tin,0.00016,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 01 S,EI 011B 01 S,EI011B01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,1.67,1.67,0.292,2.92,0.0298,0.298,29.8,298,0.167,0.167,0.0292,0.292,0.00298,0.0298,2.98,29.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,19.1659,19.2,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.6664,0.6664,2.964,0.3023,302.3,0.745,0.745,18.92,1.892,0.231,0.231,5.87,0.587,Factory Option,Passivate per ASTM A967,0.00016,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 01 S316,EI 011B 01 S316,EI011B01S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,1.67,1.67,0.292,2.92,0.0298,0.298,29.8,298,0.167,0.167,0.0292,0.292,0.00298,0.0298,2.98,29.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,19.1659,19.2,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.499,0.499,2.22,0.2263,226.3,0.638,0.638,16.21,1.621,0.231,0.231,5.87,0.587,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00016,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 02 M,EI 011B 02 M,EI011B02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,1.53,1.53,0.268,2.68,0.0273,0.273,27.3,273,0.153,0.153,0.0268,0.268,0.00273,0.0273,2.73,27.3,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,25.1036,25.1,0.011,0.011,0.28,0.028,Standard Loops,0.07,0.07,0.311,0.0318,31.8,0.014,0.014,0.0623,0.00635,6.35,0.8,0.8,3.559,0.3629,362.9,0.918,0.918,23.32,2.332,0.294,0.294,7.47,0.747,Factory Option,Pre-coated with Tin,0.0002,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 02 S,EI 011B 02 S,EI011B02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,1.27,1.27,0.222,2.22,0.0227,0.227,22.7,227,0.127,0.127,0.0222,0.222,0.00227,0.0227,2.27,22.7,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,25.2024,25.2,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.6664,0.6664,2.964,0.3023,302.3,0.918,0.918,23.32,2.332,0.294,0.294,7.47,0.747,Factory Option,Passivate per ASTM A967,0.00021,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 02 S316,EI 011B 02 S316,EI011B02S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,1.27,1.27,0.222,2.22,0.0227,0.227,22.7,227,0.127,0.127,0.0222,0.222,0.00227,0.0227,2.27,22.7,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,25.2024,25.2,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.499,0.499,2.22,0.2263,226.3,0.785,0.785,19.94,1.994,0.294,0.294,7.47,0.747,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00021,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 03 M,EI 011B 03 M,EI011B03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,1.26,1.26,0.221,2.21,0.0225,0.225,22.5,225,0.126,0.126,0.0221,0.221,0.00225,0.0225,2.25,22.5,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,30.4829,30.5,0.011,0.011,0.28,0.028,Standard Loops,0.07,0.07,0.311,0.0318,31.8,0.014,0.014,0.0623,0.00635,6.35,0.8,0.8,3.559,0.3629,362.9,1.08,1.08,27.43,2.743,0.356,0.356,9.04,0.904,Factory Option,Pre-coated with Tin,0.00024,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 03 S,EI 011B 03 S,EI011B03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,1.05,1.05,0.184,1.84,0.0188,0.188,18.8,188,0.105,0.105,0.0184,0.184,0.00188,0.0188,1.88,18.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,30.4829,30.5,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.6664,0.6664,2.964,0.3023,302.3,1.08,1.08,27.43,2.743,0.356,0.356,9.04,0.904,Factory Option,Passivate per ASTM A967,0.00025,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 03 S316,EI 011B 03 S316,EI011B03S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,1.05,1.05,0.184,1.84,0.0188,0.188,18.8,188,0.105,0.105,0.0184,0.184,0.00188,0.0188,1.88,18.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,30.4829,30.5,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.499,0.499,2.22,0.2263,226.3,0.919,0.919,23.34,2.334,0.356,0.356,9.04,0.904,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00025,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 04 M,EI 011B 04 M,EI011B04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.93,0.93,0.163,1.63,0.0166,0.166,16.6,166,0.093,0.093,0.0163,0.163,0.00166,0.0166,1.66,16.6,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,41.2994,41.3,0.011,0.011,0.28,0.028,Standard Loops,0.07,0.07,0.311,0.0318,31.8,0.014,0.014,0.0623,0.00635,6.35,0.8,0.8,3.559,0.3629,362.9,1.405,1.405,35.69,3.569,0.481,0.481,12.22,1.222,Factory Option,Pre-coated with Tin,0.00032,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 04 S,EI 011B 04 S,EI011B04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.77,0.77,0.135,1.35,0.0138,0.138,13.8,138,0.077,0.077,0.0135,0.135,0.00138,0.0138,1.38,13.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,41.5676,41.6,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.6664,0.6664,2.964,0.3023,302.3,1.405,1.405,35.69,3.569,0.481,0.481,12.22,1.222,Factory Option,Passivate per ASTM A967,0.00033,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 04 S316,EI 011B 04 S316,EI011B04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.77,0.77,0.135,1.35,0.0138,0.138,13.8,138,0.077,0.077,0.0135,0.135,0.00138,0.0138,1.38,13.8,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,41.5676,41.6,0.011,0.011,0.28,0.028,Standard Loops,0.0583,0.0583,0.259,0.0264,26.4,0.01166,0.01166,0.0519,0.00529,5.29,0.499,0.499,2.22,0.2263,226.3,1.197,1.197,30.4,3.04,0.481,0.481,12.22,1.222,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00033,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
EI 011B 05 M,EI 011B 05 M,EI011B05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.094,0.094,2.39,0.239,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.03,0.03,0.76,0.076,0.73,0.73,0.128,1.28,0.013,0.13,13,130,0.073,0.073,0.0128,0.128,0.0013,0.013,1.3,13,0.072,0.072,1.83,0.183,REF,Reference,Reference,Reference,52.6144,52.6,0.011,0.011,0.28,0.028,Standard Loops,0.07,0.07,0.311,0.0318,31.8,0.014,0.014,0.0623,0.00635,6.35,0.8,0.8,3.559,0.3629,362.9,1.75,1.75,44.45,4.445,0.606,0.606,15.39,1.539,Factory Option,Pre-coated with Tin,0.0004,0.072,0.072,1.83,0.183,Random,0.011,0.011,0.28,0.028
