title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LEM140DB 04 M,LEM140DB 04 M,LEM140DB04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.394,0.394,10.01,1.001,0.012,0.012,0.3,0.03,2.713,2.713,68.91,6.891,0.054,0.054,1.37,0.137,8.79,8.79,1.539,15.39,0.157,1.57,157,1570,0.879,0.879,0.1539,1.539,0.0157,0.157,15.7,157,0.284,0.284,7.21,0.721,REF,Reference,Reference,Reference,40,40,0.055,0.055,1.4,0.14,Standard Loops,2.846,2.846,12.66,1.2909,1290.9,0.569,0.569,2.531,0.2581,258.1,18.79,18.79,83.582,8.5231,8523.1,4.531,4.531,115.09,11.509,2.255,2.255,57.28,5.728,Factory Option,Zinc Plate and Bake per ASTM B633,0.03221,0.284,0.284,7.21,0.721,Inline,0.055,0.055,1.4,0.14
LEM140DB 04 S,LEM140DB 04 S,LEM140DB04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.394,0.394,10.01,1.001,0.012,0.012,0.3,0.03,2.713,2.713,68.91,6.891,0.054,0.054,1.37,0.137,7.31,7.31,1.28,12.8,0.1305,1.305,130.5,1305,0.731,0.731,0.128,1.28,0.01305,0.1305,13.05,130.5,0.284,0.284,7.21,0.721,REF,Reference,Reference,Reference,40,40,0.055,0.055,1.4,0.14,Standard Loops,2.371,2.371,10.547,1.0755,1075.5,0.474,0.474,2.1085,0.21501,215.01,15.66,15.66,69.659,7.1034,7103.4,4.531,4.531,115.09,11.509,2.255,2.255,57.28,5.728,Factory Option,Passivate per ASTM A967,0.03252,0.284,0.284,7.21,0.721,Inline,0.055,0.055,1.4,0.14
LEM140DB 05 M,LEM140DB 05 M,LEM140DB05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.394,0.394,10.01,1.001,0.012,0.012,0.3,0.03,11.417,11.417,289.99,28.999,0.228,0.228,5.79,0.579,1.83,1.83,0.32,3.2,0.0327,0.327,32.7,327,0.183,0.183,0.032,0.32,0.00327,0.0327,3.27,32.7,0.284,0.284,7.21,0.721,REF,Reference,Reference,Reference,195,195,0.055,0.055,1.4,0.14,Standard Loops,2.846,2.846,12.66,1.2909,1290.9,0.569,0.569,2.531,0.2581,258.1,18.79,18.79,83.582,8.5231,8523.1,20.079,20.079,510.01,51.001,10.78,10.78,273.81,27.381,Factory Option,Zinc Plate and Bake per ASTM B633,0.14925,0.284,0.284,7.21,0.721,Inline,0.055,0.055,1.4,0.14
LEM140DB 05 S,LEM140DB 05 S,LEM140DB05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.394,0.394,10.01,1.001,0.012,0.012,0.3,0.03,11.417,11.417,289.99,28.999,0.228,0.228,5.79,0.579,1.54,1.54,0.27,2.7,0.0275,0.275,27.5,275,0.154,0.154,0.027,0.27,0.00275,0.0275,2.75,27.5,0.284,0.284,7.21,0.721,REF,Reference,Reference,Reference,195,195,0.055,0.055,1.4,0.14,Standard Loops,2.371,2.371,10.547,1.0755,1075.5,0.474,0.474,2.1085,0.21501,215.01,15.66,15.66,69.659,7.1034,7103.4,20.079,20.079,510.01,51.001,10.78,10.78,273.81,27.381,Factory Option,Passivate per ASTM A967,0.14846,0.284,0.284,7.21,0.721,Inline,0.055,0.055,1.4,0.14
LEM140ED 01 M,LEM140ED 01 M,LEM140ED01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,1.374,1.374,34.9,3.49,0.027,0.027,0.69,0.069,8.85,8.85,1.55,15.5,0.158,1.58,158,1580,0.885,0.885,0.155,1.55,0.0158,0.158,15.8,158,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,10,10,0.055,0.055,1.4,0.14,Standard Loops,1.911,1.911,8.501,0.8668,866.8,0.382,0.382,1.6992,0.17328,173.28,12.84,12.84,57.115,5.8242,5824.2,2.602,2.602,66.09,6.609,0.605,0.605,15.37,1.537,Factory Option,Zinc Plate and Bake per ASTM B633,0.01459,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
LEM140ED 01 S,LEM140ED 01 S,LEM140ED01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,1.374,1.374,34.9,3.49,0.027,0.027,0.69,0.069,7.37,7.37,1.291,12.91,0.1316,1.316,131.6,1316,0.737,0.737,0.1291,1.291,0.01316,0.1316,13.16,131.6,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,10,10,0.055,0.055,1.4,0.14,Standard Loops,1.592,1.592,7.082,0.7221,722.1,0.318,0.318,1.4145,0.14424,144.24,10.69,10.69,47.551,4.849,4849,2.602,2.602,66.09,6.609,0.605,0.605,15.37,1.537,Factory Option,Passivate per ASTM A967,0.01471,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
LEM140ED 02 M,LEM140ED 02 M,LEM140ED02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,1.705,1.705,43.31,4.331,0.034,0.034,0.86,0.086,5.54,5.54,0.97,9.7,0.0989,0.989,98.9,989,0.554,0.554,0.097,0.97,0.00989,0.0989,9.89,98.9,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,16,16,0.055,0.055,1.4,0.14,Standard Loops,1.911,1.911,8.501,0.8668,866.8,0.382,0.382,1.6992,0.17328,173.28,12.84,12.84,57.115,5.8242,5824.2,3.673,3.673,93.29,9.329,0.935,0.935,23.75,2.375,Factory Option,Zinc Plate and Bake per ASTM B633,0.02188,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
LEM140ED 02 S,LEM140ED 02 S,LEM140ED02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,1.705,1.705,43.31,4.331,0.034,0.034,0.86,0.086,4.63,4.63,0.811,8.11,0.0827,0.827,82.7,827,0.463,0.463,0.0811,0.811,0.00827,0.0827,8.27,82.7,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,16,16,0.055,0.055,1.4,0.14,Standard Loops,1.592,1.592,7.082,0.7221,722.1,0.318,0.318,1.4145,0.14424,144.24,10.69,10.69,47.551,4.849,4849,3.673,3.673,93.29,9.329,0.935,0.935,23.75,2.375,Factory Option,Passivate per ASTM A967,0.022,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
LEM140ED 03 M,LEM140ED 03 M,LEM140ED03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Music Wire,MW,ASTM A228,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,2.201,2.201,55.91,5.591,0.044,0.044,1.12,0.112,3.54,3.54,0.62,6.2,0.0632,0.632,63.2,632,0.354,0.354,0.062,0.62,0.00632,0.0632,6.32,63.2,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,25,25,0.055,0.055,1.4,0.14,Standard Loops,1.911,1.911,8.501,0.8668,866.8,0.382,0.382,1.6992,0.17328,173.28,12.84,12.84,57.115,5.8242,5824.2,5.276,5.276,134.01,13.401,1.43,1.43,36.32,3.632,Factory Option,Zinc Plate and Bake per ASTM B633,0.03288,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
LEM140ED 03 S,LEM140ED 03 S,LEM140ED03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (metric),NR,Stainless Steel,SS,ASTM A313,0.591,0.591,15.01,1.501,0.014,0.014,0.36,0.036,2.201,2.201,55.91,5.591,0.044,0.044,1.12,0.112,2.97,2.97,0.52,5.2,0.053,0.53,53,530,0.297,0.297,0.052,0.52,0.0053,0.053,5.3,53,0.481,0.481,12.22,1.222,REF,Reference,Reference,Reference,25,25,0.055,0.055,1.4,0.14,Standard Loops,1.592,1.592,7.082,0.7221,722.1,0.318,0.318,1.4145,0.14424,144.24,10.69,10.69,47.551,4.849,4849,5.276,5.276,134.01,13.401,1.43,1.43,36.32,3.632,Factory Option,Passivate per ASTM A967,0.03292,0.481,0.481,12.22,1.222,Inline,0.055,0.055,1.4,0.14
