title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LWM20 100 2530S,LWM20 100 2530S,LWM201002530S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.735,0.735,18.67,1.867,Reference,Reference,Reference,Reference,0.787,0.787,20,2,0.551,0.551,14,1.4,MIN,MIN,MIN,MIN,0.996,0.996,25.3,2.53,0.125,0.125,3.18,0.318,68.519,68.519,12,120,1.2236,12.236,1223.61,12236.1,17.13,17.13,3,30,0.30591,3.0591,305.908,3059.08,0.169,0.169,4.29,0.429,0.013,0.013,0.33,0.033,Stainless Steel Type 17-7 PH,17-7 PH,56.665,56.665,252.06,25.703,25703.24,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.577,0.577,18.01,1.801,Reference,Reference,Reference,Reference,,0.011347,22.481,22.481,100,10.197,10197.38,0.668,0.668,16.97,1.697
LWM25 050 0663S,LWM25 050 0663S,LWM250500663S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.261,0.261,6.63,0.663,0.05,0.05,1.27,0.127,62.466,62.466,10.94,109.4,1.1155,11.155,1115.52,11155.2,15.617,15.617,2.7351,27.351,0.27889,2.7889,278.888,2788.88,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,13.805,13.805,61.41,6.262,6261.95,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.003038,11.24,11.24,50,5.098,5098.46,0.081,0.081,2.06,0.206
LWM25 050 0884S,LWM25 050 0884S,LWM250500884S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.348,0.348,8.84,0.884,0.06,0.06,1.52,0.152,46.821,46.821,8.2,82,0.8361,8.361,836.13,8361.3,11.705,11.705,2.0499,20.499,0.20903,2.0903,209.028,2090.28,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,13.953,13.953,62.07,6.329,6329.08,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.00405,11.24,11.24,50,5.098,5098.46,0.108,0.108,2.74,0.274
LWM25 050 1105S,LWM25 050 1105S,LWM250501105S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.435,0.435,11.05,1.105,0.07,0.07,1.78,0.178,37.457,37.457,6.56,65.6,0.6689,6.689,668.91,6689.1,9.364,9.364,1.6399,16.399,0.16722,1.6722,167.222,1672.22,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,14.046,14.046,62.48,6.371,6371.27,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.005063,11.24,11.24,50,5.098,5098.46,0.135,0.135,3.43,0.343
LWM25 050 1326S,LWM25 050 1326S,LWM250501326S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.522,0.522,13.26,1.326,0.09,0.09,2.29,0.229,31.233,31.233,5.47,54.7,0.5578,5.578,557.76,5577.6,7.808,7.808,1.3674,13.674,0.13944,1.3944,139.435,1394.35,0.07,0.07,1.78,0.178,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,14.117,14.117,62.8,6.403,6403.47,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.006076,11.24,11.24,50,5.098,5098.46,0.162,0.162,4.11,0.411
LWM25 050 1547S,LWM25 050 1547S,LWM250501547S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.609,0.609,15.47,1.547,0.09,0.09,2.29,0.229,26.779,26.779,4.69,46.9,0.4782,4.782,478.22,4782.2,6.695,6.695,1.1725,11.725,0.11956,1.1956,119.559,1195.59,0.08,0.08,2.03,0.203,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,14.166,14.166,63.01,6.426,6425.7,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.007088,11.24,11.24,50,5.098,5098.46,0.189,0.189,4.8,0.48
LWM25 050 1989S,LWM25 050 1989S,LWM250501989S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.783,0.783,19.89,1.989,0.12,0.12,3.05,0.305,20.841,20.841,3.65,36.5,0.3722,3.722,372.18,3721.8,5.21,5.21,0.9124,9.124,0.09304,0.9304,93.04,930.4,0.1,0.1,2.54,0.254,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,14.234,14.234,63.32,6.457,6456.54,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.009113,11.24,11.24,50,5.098,5098.46,0.244,0.244,6.2,0.62
LWM25 050 2652S,LWM25 050 2652S,LWM250502652S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.941,0.941,23.9,2.39,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,1.044,1.044,26.52,2.652,0.15,0.15,3.81,0.381,15.645,15.645,2.74,27.4,0.2794,2.794,279.39,2793.9,3.911,3.911,0.6849,6.849,0.06984,0.6984,69.843,698.43,0.13,0.13,3.3,0.33,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7 PH,14.3,14.3,63.61,6.486,6486.48,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.77,0.77,23.4,2.34,Reference,Reference,Reference,Reference,,0.012151,11.24,11.24,50,5.098,5098.46,0.325,0.325,8.26,0.826
LWM25 080 0663S,LWM25 080 0663S,LWM250800663S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.261,0.261,6.63,0.663,0.05,0.05,1.27,0.127,124.019,124.019,21.72,217.2,2.2147,22.147,2214.73,22147.3,31.005,31.005,5.43,54.3,0.55369,5.5369,553.687,5536.87,0.048,0.048,1.22,0.122,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,26.416,26.416,117.5,11.982,11982.3,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.004009,17.985,17.985,80,8.158,8158,0.116,0.116,2.95,0.295
LWM25 080 0884S,LWM25 080 0884S,LWM250800884S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.348,0.348,8.84,0.884,0.06,0.06,1.52,0.152,93.186,93.186,16.32,163.2,1.6641,16.641,1664.12,16641.2,23.296,23.296,4.0799,40.799,0.41602,4.1602,416.02,4160.2,0.06,0.06,1.52,0.152,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,26.838,26.838,119.38,12.174,12173.72,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.005346,17.985,17.985,80,8.158,8158,0.155,0.155,3.94,0.394
LWM25 080 1105S,LWM25 080 1105S,LWM250801105S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.435,0.435,11.05,1.105,0.07,0.07,1.78,0.178,74.286,74.286,13.01,130.1,1.3266,13.266,1326.6,13266,18.571,18.571,3.2524,32.524,0.33164,3.3164,331.641,3316.41,0.072,0.072,1.83,0.183,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,26.966,26.966,119.95,12.232,12231.78,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.006682,17.985,17.985,80,8.158,8158,0.193,0.193,4.9,0.49
LWM25 080 1326S,LWM25 080 1326S,LWM250801326S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.522,0.522,13.26,1.326,0.09,0.09,2.29,0.229,62.01,62.01,10.86,108.6,1.1074,11.074,1107.37,11073.7,15.502,15.502,2.7149,27.149,0.27683,2.7683,276.835,2768.35,0.084,0.084,2.13,0.213,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,27.16,27.16,120.81,12.32,12319.78,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.008019,17.985,17.985,80,8.158,8158,0.232,0.232,5.89,0.589
LWM25 080 1547S,LWM25 080 1547S,LWM250801547S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.609,0.609,15.47,1.547,0.09,0.09,2.29,0.229,53.216,53.216,9.32,93.2,0.9503,9.503,950.33,9503.3,13.304,13.304,2.33,23.3,0.23758,2.3758,237.583,2375.83,0.096,0.096,2.44,0.244,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,27.3,27.3,121.44,12.383,12383.28,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.009355,17.985,17.985,80,8.158,8158,0.271,0.271,6.88,0.688
LWM25 080 1989S,LWM25 080 1989S,LWM250801989S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.783,0.783,19.89,1.989,0.12,0.12,3.05,0.305,41.34,41.34,7.24,72.4,0.7382,7.382,738.25,7382.5,10.335,10.335,1.81,18.1,0.18456,1.8456,184.562,1845.62,0.12,0.12,3.05,0.305,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,27.408,27.408,121.92,12.432,12432.27,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.012028,17.985,17.985,80,8.158,8158,0.348,0.348,8.84,0.884
LWM25 080 2652S,LWM25 080 2652S,LWM250802652S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,1.044,1.044,26.52,2.652,0.15,0.15,3.81,0.381,31.005,31.005,5.43,54.3,0.5537,5.537,553.69,5536.9,7.751,7.751,1.3575,13.575,0.13842,1.3842,138.417,1384.17,0.156,0.156,3.96,0.396,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,27.532,27.532,122.47,12.489,12488.52,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.58,2.358,Reference,Reference,Reference,Reference,,0.016037,17.985,17.985,80,8.158,8158,0.464,0.464,11.79,1.179
LWM25 110 0663S,LWM25 110 0663S,LWM251100663S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.261,0.261,6.63,0.663,0.05,0.05,1.27,0.127,242.442,242.442,42.46,424.6,4.3295,43.295,4329.53,43295.3,60.611,60.611,10.615,106.15,1.08239,10.8239,1082.391,10823.91,0.06,0.06,1.52,0.152,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,48.731,48.731,216.77,22.104,22104.38,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.005079,24.729,24.729,110,11.217,11217.07,0.159,0.159,4.04,0.404
LWM25 110 0884S,LWM25 110 0884S,LWM251100884S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.348,0.348,8.84,0.884,0.06,0.06,1.52,0.152,181.803,181.803,31.84,318.4,3.2466,32.466,3246.64,32466.4,45.451,45.451,7.96,79.6,0.81166,8.1166,811.664,8116.64,0.075,0.075,1.91,0.191,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,49.632,49.632,220.77,22.513,22513.08,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.006771,24.729,24.729,110,11.217,11217.07,0.212,0.212,5.38,0.538
LWM25 110 1105S,LWM25 110 1105S,LWM251101105S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.435,0.435,11.05,1.105,0.07,0.07,1.78,0.178,145.431,145.431,25.47,254.7,2.5971,25.971,2597.11,25971.1,36.358,36.358,6.3675,63.675,0.64928,6.4928,649.281,6492.81,0.09,0.09,2.29,0.229,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,50.174,50.174,223.19,22.759,22758.93,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.008464,24.729,24.729,110,11.217,11217.07,0.265,0.265,6.73,0.673
LWM25 110 1326S,LWM25 110 1326S,LWM251101326S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.522,0.522,13.26,1.326,0.09,0.09,2.29,0.229,121.221,121.221,21.23,212.3,2.1648,21.648,2164.76,21647.6,30.305,30.305,5.3074,53.074,0.54119,5.4119,541.187,5411.87,0.105,0.105,2.67,0.267,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,50.549,50.549,224.85,22.929,22929.03,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.010157,24.729,24.729,110,11.217,11217.07,0.318,0.318,8.08,0.808
LWM25 110 1547S,LWM25 110 1547S,LWM251101547S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.609,0.609,15.47,1.547,0.09,0.09,2.29,0.229,103.463,103.463,18.12,181.2,1.8476,18.476,1847.64,18476.4,25.866,25.866,4.53,45.3,0.46192,4.6192,461.915,4619.15,0.12,0.12,3.05,0.305,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,50.593,50.593,225.05,22.949,22948.98,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.01185,24.729,24.729,110,11.217,11217.07,0.37,0.37,9.4,0.94
LWM25 110 1989S,LWM25 110 1989S,LWM251101989S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,0.783,0.783,19.89,1.989,0.12,0.12,3.05,0.305,80.795,80.795,14.15,141.5,1.4428,14.428,1442.84,14428.4,20.199,20.199,3.5375,35.375,0.36071,3.6071,360.714,3607.14,0.15,0.15,3.81,0.381,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,51.143,51.143,227.5,23.198,23198.46,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.015236,24.729,24.729,110,11.217,11217.07,0.477,0.477,12.12,1.212
LWM25 110 2652S,LWM25 110 2652S,LWM251102652S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.952,0.952,24.18,2.418,Reference,Reference,Reference,Reference,0.984,0.984,25,2.5,0.748,0.748,19,1.9,MIN,MIN,MIN,MIN,1.044,1.044,26.52,2.652,0.15,0.15,3.81,0.381,60.582,60.582,10.61,106.1,1.0819,10.819,1081.87,10818.7,15.146,15.146,2.6526,26.526,0.27048,2.7048,270.477,2704.77,0.195,0.195,4.95,0.495,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,51.434,51.434,228.79,23.33,23330.46,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.764,0.764,23.42,2.342,Reference,Reference,Reference,Reference,,0.020314,24.729,24.729,110,11.217,11217.07,0.636,0.636,16.15,1.615
LWM28 050 0724S,LWM28 050 0724S,LWM280500724S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.285,0.285,7.24,0.724,0.05,0.05,1.27,0.127,82.051,82.051,14.37,143.7,1.4653,14.653,1465.27,14652.7,20.513,20.513,3.5925,35.925,0.36632,3.6632,366.321,3663.21,0.048,0.048,1.22,0.122,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,19.446,19.446,86.5,8.821,8820.71,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.004561,11.24,11.24,50,5.098,5098.46,0.148,0.148,3.76,0.376
LWM28 050 0965S,LWM28 050 0965S,LWM280500965S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.38,0.38,9.65,0.965,0.06,0.06,1.52,0.152,61.439,61.439,10.76,107.6,1.0972,10.972,1097.18,10971.8,15.36,15.36,2.69,26.9,0.2743,2.743,274.299,2742.99,0.06,0.06,1.52,0.152,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7 PH,19.66,19.66,87.45,8.918,8917.78,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.58,2.658,Reference,Reference,Reference,Reference,,0.006082,11.24,11.24,50,5.098,5098.46,0.197,0.197,5,0.5
