title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date, ,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm, field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm, field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_inside_dia_tole_bd_spe_in,field_inside_dia_tole_in,field_inside_dia_tole_mm,field_inside_dia_tole_cm,field_color,field_weight_per_item_lb
LHL 750A 15,LHL 750A 15,LHL750A15,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.717,0.717,18.21,1.821,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,8,8,203.2,20.32,0.205,0.205,5.21,0.521,30.5,30.5,5.342,53.42,0.5447,5.447,544.67,5446.7,3.05,3.05,0.5342,5.342,0.05447,0.5447,54.467,544.67,3.8,3.8,96.52,9.652,0.11,0.11,2.79,Music Wire,MW,133.775,133.775,595.06,60.68,60680.34,Squared and Ground,Factory Option,30.85,30.85,Reference,Reference,32.85,32.85,Gray Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.497,0.497,12.62,1.262,Reference,Reference,Reference,Reference,,0.177546
LHL 750A 17,LHL 750A 17,LHL750A17,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.71,0.71,18.03,1.803,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,12,12,304.8,30.48,0.25,0.25,6.35,0.635,15.9,15.9,2.785,27.85,0.2839,2.839,283.94,2839.4,1.59,1.59,0.2785,2.785,0.02839,0.2839,28.394,283.94,5.671,5.671,144.04,14.404,0.105,0.105,2.67,Music Wire,MW,100.6,100.6,447.49,45.632,45632.16,Squared and Ground,Factory Option,49.63,49.63,Reference,Reference,51.63,51.63,Gray Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.5,0.5,12.7,1.27,Reference,Reference,Reference,Reference,,0.256465
LHL 750AB 01,LHL 750AB 01,LHL750AB01,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.725,0.725,18.42,1.842,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.033,0.033,0.84,0.084,273,273,47.811,478.11,4.8752,48.752,4875.23,48752.3,27.3,27.3,4.7811,47.811,0.48752,4.8752,487.523,4875.23,0.65,0.65,16.51,1.651,0.112,0.112,2.84,Music Wire,MW,95.6,95.6,425.25,43.364,43364.16,Squared and Ground,Factory Option,3.596,3.596,Reference,Reference,5.6,5.6,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.501,0.501,12.73,1.273,Reference,Reference,Reference,Reference,,0.031723
LHL 750AB 02,LHL 750AB 02,LHL750AB02,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.72,0.72,18.29,1.829,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.039,0.039,0.99,0.099,240,240,42.032,420.32,4.2859,42.859,4285.92,42859.2,24,24,4.2032,42.032,0.42859,4.2859,428.592,4285.92,0.8,0.8,20.32,2.032,0.115,0.115,2.92,Music Wire,MW,108,108,480.41,48.989,48988.8,Squared and Ground,Factory Option,4.73,4.73,Reference,Reference,6.73,6.73,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.49,0.49,12.45,1.245,Reference,Reference,Reference,Reference,,0.039694
LHL 750AB 03,LHL 750AB 03,LHL750AB03,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.72,0.72,18.29,1.829,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.048,0.048,1.22,0.122,193,193,33.801,338.01,3.4466,34.466,3446.59,34465.9,19.3,19.3,3.3801,33.801,0.34466,3.4466,344.659,3446.59,0.93,0.93,23.62,2.362,0.115,0.115,2.92,Music Wire,MW,110,110,489.3,49.896,49896,Squared and Ground,Factory Option,5.882,5.882,Reference,Reference,7.88,7.88,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.49,0.49,12.45,1.245,Reference,Reference,Reference,Reference,,0.046489
LHL 750AB 04,LHL 750AB 04,LHL750AB04,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.695,0.695,17.65,1.765,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.053,0.053,1.35,0.135,181,181,31.699,316.99,3.2323,32.323,3232.3,32323,18.1,18.1,3.1699,31.699,0.32323,3.2323,323.23,3232.3,1.08,1.08,27.43,2.743,0.115,0.115,2.92,Music Wire,MW,121.3,121.3,539.57,55.022,55021.68,Squared and Ground,Factory Option,7.119,7.119,Reference,Reference,9.12,9.12,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.465,0.465,11.81,1.181,Reference,Reference,Reference,Reference,,0.051559
LHL 750AB 05,LHL 750AB 05,LHL750AB05,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.68,0.68,17.27,1.727,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.062,0.062,1.57,0.157,162,162,28.372,283.72,2.893,28.93,2893,28930,16.2,16.2,2.8372,28.372,0.2893,2.893,289.3,2893,1.26,1.26,32,3.2,0.115,0.115,2.92,Music Wire,MW,119.9,119.9,533.34,54.387,54386.64,Squared and Ground,Factory Option,8.605,8.605,Reference,Reference,10.6,10.6,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.45,0.45,11.43,1.143,Reference,Reference,Reference,Reference,,0.058407
LHL 750AB 06,LHL 750AB 06,LHL750AB06,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.685,0.685,17.4,1.74,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,2.5,2.5,63.5,6.35,0.088,0.088,2.24,0.224,123,123,21.541,215.41,2.1965,21.965,2196.53,21965.3,12.3,12.3,2.1541,21.541,0.21965,2.1965,219.653,2196.53,1.54,1.54,39.12,3.912,0.115,0.115,2.92,Music Wire,MW,118.1,118.1,525.34,53.57,53570.16,Squared and Ground,Factory Option,11.037,11.037,Reference,Reference,13.04,13.04,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.455,0.455,11.56,1.156,Reference,Reference,Reference,Reference,,0.072441
LHL 750AB 07,LHL 750AB 07,LHL750AB07,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.7,0.7,17.78,1.778,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,3,3,76.2,7.62,0.105,0.105,2.67,0.267,102,102,17.864,178.64,1.8215,18.215,1821.52,18215.2,10.2,10.2,1.7864,17.864,0.18215,1.8215,182.152,1821.52,1.76,1.76,44.7,4.47,0.115,0.115,2.92,Music Wire,MW,126.5,126.5,562.7,57.38,57380.4,Squared and Ground,Factory Option,12.312,12.312,Reference,Reference,14.31,14.31,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.47,0.47,11.94,1.194,Reference,Reference,Reference,Reference,,0.081617
LHL 750AB 08,LHL 750AB 08,LHL750AB08,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.7,0.7,17.78,1.778,Reference,Reference,Reference,Reference,0.75,0.75,19.05,1.905,0.375,0.375,9.53,0.953,MIN,MIN,MIN,MIN,3.5,3.5,88.9,8.89,0.125,0.125,3.18,0.318,90,90,15.762,157.62,1.6072,16.072,1607.22,16072.2,9,9,1.5762,15.762,0.16072,1.6072,160.722,1607.22,1.89,1.89,48.01,4.801,0.115,0.115,2.92,Music Wire,MW,144.9,144.9,644.55,65.727,65726.64,Squared and Ground,Factory Option,13.953,13.953,Reference,Reference,15.95,15.95,Beige Powder Coat,1,HEFTY™ Die Spring,ASTM A228,0.47,0.47,11.94,1.194,Reference,Reference,Reference,Reference,,0.090978
